Date/Time,0A0 mm
2018-05-29 17:03:00,137.50487566361173
2018-05-29 17:04:00,165.2916067995239
2018-05-29 17:05:00,161.45617725150305
2018-05-29 17:06:00,151.7227552110355
2018-05-29 17:07:00,150.95023163548692
2018-05-29 17:08:00,175.9097433393353
2018-05-29 17:09:00,167.06791100802639
2018-05-29 17:10:00,155.79631702627648
2018-05-29 17:11:00,152.6484084597309
2018-05-29 17:12:00,164.4837696462905
2018-05-29 17:13:00,143.13561815240942
2018-05-29 17:14:00,157.2969878231147
2018-05-29 17:15:00,55.80639057588427
